rapportagedatum,totale_omzet,lag_1d,lag_7d,lag_14d,lag_28d,rolling_mean_7d,rolling_mean_28d,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_voorjaarvakantie,is_meivakantie,is_zomervakantie,is_herfstvakantie,is_kerstvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag,cumulative_revenue_ytd,contractual_consumption_rate,time_index
2023-02-28,494378.53,451619.49,530416.48,551102.15,537130.9,369125.9628571429,382032.52178571426,1,2,9,2023,1,59,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,0,0,0,1,0,0,0,0,1,0,0,22309597.96,0.15470068485721247,423
2023-03-01,419293.79,494378.53,458498.87,455229.63,445683.66,363977.6842857143,380505.65142857144,2,3,9,2023,1,60,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,0,0,0,1,0,0,0,0,1,0,0,22728891.75,0.15760817949632142,424
2023-03-02,487215.18,419293.79,503548.96,523958.09,531924.76,358376.95857142855,379563.15607142856,3,3,9,2023,1,61,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,0,0,0,1,0,0,0,0,1,0,0,23216106.93,0.1609866591154508,425
2023-03-03,385436.93,487215.18,383509.3,415861.88,427427.29,356043.5614285714,377966.38535714283,4,3,9,2023,1,62,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,0,0,1,1,0,0,0,0,1,0,0,23601543.86,0.1636593812840515,426
2023-03-04,129872.63,385436.93,127185.04,131836.05,131436.77,356318.9371428572,376466.72964285716,5,3,9,2023,1,63,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1,0,0,1,0,0,0,0,1,0,0,23731416.49,0.16455995263640083,427
2023-03-05,129440.62,129872.63,129103.6,130462.48,129199.46,356702.87857142853,376410.86750000005,6,3,9,2023,1,64,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1,0,0,1,0,0,0,0,1,0,0,23860857.11,0.16545752831652943,428
2023-03-06,481296.99,129440.62,451619.49,487584.22,497386.36,356751.02428571426,376419.4803571428,0,3,10,2023,1,65,0.0,1.0,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,1,0,0,0,0,0,0,0,0,0,24342154.1,0.16879496963242463,429
2023-03-07,534730.96,481296.99,494378.53,530416.48,546986.12,360990.66714285716,375844.86,1,3,10,2023,1,66,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,0,0,0,0,0,0,0,0,0,0,24876885.06,0.1725029363055432,430
2023-03-08,449450.71,534730.96,419293.79,458498.87,470059.32,366755.29999999993,375407.1757142857,2,3,10,2023,1,67,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,0,0,0,0,0,0,0,0,0,0,25326335.77,0.17561954704730667,431
2023-03-09,517124.42,449450.71,487215.18,503548.96,525304.68,371063.4314285714,374671.1539285714,3,3,10,2023,1,68,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,0,0,0,0,0,0,0,0,0,0,25843460.19,0.17920542529010713,432
2023-03-10,406777.78,517124.42,385436.93,383509.3,413614.03,375336.18,374379.00178571424,4,3,10,2023,1,69,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,0,1,0,0,0,0,0,0,0,0,26250237.97,0.18202613058759945,433
2023-03-11,127142.12,406777.78,129872.63,127185.04,126485.52,378384.8728571428,374134.85000000003,5,3,10,2023,1,70,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,1,0,0,0,0,0,0,0,0,0,0,26377380.09,0.1829077678575074,434
2023-03-12,125101.45,127142.12,129440.62,129103.6,129739.99,377994.8,374158.3,6,3,10,2023,1,71,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,1,0,0,0,0,0,0,0,0,0,0,26502481.54,0.18377525457897723,435
